test_id,queryid,model,dataset,datasetSize,threads,elapsedTime,numMachines,cardinality,queryMode
84c2ec1f-3d07-4a02-92d7-b671484283c1,AgentHistory,stgraph,smartbench,small,32,27,4,1,OPTIMIZED
a55c00a6-3dfd-40cc-bebe-f155bae05ab0,AgentHistory,stgraph,smartbench,small,64,25,4,1,OPTIMIZED
b36f65d1-0d77-4c78-b031-fe813bf5743c,AgentHistory,stgraph,smartbench,medium,32,23,4,1,OPTIMIZED
e1b515ae-4cc4-427c-80a7-51a6c37a7594,AgentHistory,stgraph,smartbench,medium,64,42,4,1,OPTIMIZED
7e310642-663b-465b-9119-07ca7c24c39a,AgentHistory,stgraph,smartbench,large,32,39,4,1,OPTIMIZED
5ccbb373-2f95-47cf-838e-ffcd72c187d0,AgentHistory,stgraph,smartbench,large,64,41,4,1,OPTIMIZED
f2c18e10-d77a-413a-a6eb-a9554ca60f89,AgentHistory,stgraph,smartbench,small,32,23,2,1,OPTIMIZED
1163f27c-1d97-4734-a3fc-3790a61755ff,AgentHistory,stgraph,smartbench,small,64,23,2,1,OPTIMIZED
ffb5f86d-6603-4970-b2e9-c77113d4c496,AgentHistory,stgraph,smartbench,medium,32,26,2,1,OPTIMIZED
917b4e81-e278-4450-a309-414cbf3ea310,AgentHistory,stgraph,smartbench,medium,64,24,2,1,OPTIMIZED
699143be-75a4-4fb3-ab37-07c10b6911be,AgentHistory,stgraph,smartbench,large,32,40,2,1,OPTIMIZED
c0f1ebdc-a984-4937-9602-dcacec4f84ab,AgentHistory,stgraph,smartbench,large,64,40,2,1,OPTIMIZED
0551f6f3-a89f-45f4-a166-17414da16875,Q1,stgraph,mimic,1692200,32,44,1,20,OPTIMIZED
f177ecc4-ff9e-4607-a17a-1e8874ad33a4,Q1,stgraph,mimic,1692200,64,12,1,20,OPTIMIZED
92be3ad8-1b76-481f-8175-0343cdc290a8,Q1,stgraph,mimic,16922000,32,115,1,503,OPTIMIZED
44135547-a485-4e60-8bf8-06e5662bedbb,Q1,stgraph,mimic,16922000,64,141,1,503,OPTIMIZED
386a0587-7852-4f65-9db5-45bc07ba0d29,Q1,stgraph,mimic,full,32,7027,1,65365,OPTIMIZED
0c953741-ebbd-4e67-909a-f1e7c0e5dbab,Q1,stgraph,mimic,full,64,7802,1,65365,OPTIMIZED
dc30944f-5761-4ee7-9343-ffff8b35352e,Q1,stgraph,mimic,1692200,32,3,4,20,OPTIMIZED
f5638eaa-3ab2-4811-b495-0b956f3e9ed9,Q1,stgraph,mimic,1692200,64,2,4,20,OPTIMIZED
52fa9ddb-053a-4d39-8f1e-09e697198f20,Q1,stgraph,mimic,16922000,32,65,4,503,OPTIMIZED
2243c3b2-e103-4111-bbe5-1c3322e2182c,Q1,stgraph,mimic,16922000,64,64,4,503,OPTIMIZED
eda59b55-6309-448b-a3f6-c5b72019b38e,Q1,stgraph,mimic,full,32,6629,4,65365,OPTIMIZED
797926db-f958-4abc-bf05-9691024bf683,Q1,stgraph,mimic,full,64,5898,4,65365,OPTIMIZED
9457bcb5-97c4-4db7-a304-e69b434cb31a,Q1,stgraph,mimic,1692200,32,2,2,20,OPTIMIZED
9c69fc0d-17ea-4ae9-a2b4-c0e6a0c51e9e,Q1,stgraph,mimic,1692200,64,1,2,20,OPTIMIZED
318ff707-d053-46c8-bd71-0affb78bc688,Q1,stgraph,mimic,16922000,32,85,2,503,OPTIMIZED
9623fcb7-ac9c-4b77-9929-ce2d0d1825b3,Q1,stgraph,mimic,16922000,64,34,2,503,OPTIMIZED
58a69953-af83-4a1d-a432-04b29106aaf0,Q1,stgraph,mimic,full,32,4611,2,65365,OPTIMIZED
66a117ab-c05e-484c-aba7-947faf5247fd,Q1,stgraph,mimic,full,64,5100,2,65365,OPTIMIZED
37f7f918-4c9d-4acc-8957-f0ba184d4202,Q3,stgraph,mimic,1692200,32,106,1,1,OPTIMIZED
85397f7e-5491-42f5-9030-db3481a66b93,Q3,stgraph,mimic,1692200,64,56,1,1,OPTIMIZED
c5392760-008b-4f57-b729-cc16fb44e6f6,Q3,stgraph,mimic,16922000,32,1169,1,1,OPTIMIZED
95c3c4e8-9d0a-4bec-8f24-2f1fdcad015c,Q3,stgraph,mimic,16922000,64,1160,1,1,OPTIMIZED
d4011fe0-ee4a-478d-9377-9754c296fdce,Q3,stgraph,mimic,full,32,137429,1,1,OPTIMIZED
