test_id,model,dataset,datasetSize,threads,queryName,queryType,elapsedTime,numEntities,numMachines,querySelectivity,temporalRangeIndex,iteration,queryid,cardinality,queryMode
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,AgentHistory,edgesDirection,11.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentCoverage,edgesDirection,11.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,122153.0,-1.0,-1,,0,8.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Small,1,EnvironmentAggregate,edgesDirection,122639.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,MaintenanceOwners,edgesDirection,314517.0,-1.0,-1,,0,9.0,,,
431ccf6b-b363-440b-8b11-9200d9019662,AeonG,smartbench,Medium,1,EnvironmentAggregate,edgesDirection,375635.0,-1.0,-1,,0,9.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,12,EnvironmentCoverage,edgesDirection,1.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,2,AgentOutlier,edgesDirection,256250.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,AgentOutlier,edgesDirection,10149.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,20,MaintenanceOwners,edgesDirection,4655.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,16,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,AgentOutlier,edgesDirection,81752.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,16,AgentHistory,edgesDirection,1.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Small,2,MaintenanceOwners,edgesDirection,45416.0,-1.0,-1,,0,0.0,,,
054e3f86-cef9-4a25-a657-ffcf11364208,AeonG,smartbench,Medium,20,EnvironmentCoverage,edgesDirection,1.0,-1.0,-1,,0,0.0,,,
